cidade,long,lat,alt,uf
MARAÚ,-39.02495176,-14.10553067,13.705069,BAHIA
CAMAMU,-39.10056972,-13.94707634,7,BAHIA
IGRAPIÚNA,-39.1400808,-13.82040244,12.0868,BAHIA
ITUBERÁ,-39.14904249,-13.73615691,11.286142,BAHIA
TEOLÂNDIA,-39.48938579,-13.60110601,214.918916,BAHIA
PRESIDENTE TANCREDO NEVES,-39.42405983,-13.47084177,202.668358,BAHIA
LAJE,-39.42755215,-13.17964868,243.629005,BAHIA
SÃO MIGUEL DAS MATAS,-39.45578043,-13.05173308,274.351112,BAHIA
NILO PEÇANHA,-39.11298551,-13.60449442,50.023852,BAHIA
TAPEROÁ,-39.10062225,-13.53099263,33.964117,BAHIA
CAIRU,-39.04325436,-13.4876034,17.51928,BAHIA
VALENÇA,-39.07235025,-13.37034151,12.225215,BAHIA
ARATUÍPE,-39.00291087,-13.08059654,5.220357,BAHIA
JAGUARIPE,-38.89141863,-13.11506389,8.944731,BAHIA
NOVA ITARANA,-40.06924973,-13.03304989,550.01382,BAHIA
MILAGRES,-39.8591271,-12.87057491,424.017974,BAHIA
AMARGOSA,-39.5981225,-13.03445136,393.843499,BAHIA
ELÍSIO MEDRADO,-39.52048556,-12.94332584,376.473018,BAHIA
SANTA TERESINHA,-39.52114006,-12.77285177,222.507182,BAHIA
ITATIM,-39.70377461,-12.70924653,238.571972,BAHIA
IPIRÁ,-39.74070848,-12.16028688,314.319456,BAHIA
RAFAEL JAMBEIRO,-39.50063568,-12.40741735,227.629646,BAHIA
PÉ DE SERRA,-39.60942533,-11.83117931,276.496945,BAHIA
VARZEDO,-39.39347583,-12.97531256,230.067109,BAHIA
CASTRO ALVES,-39.42651943,-12.76583264,254.853072,BAHIA
SANTO ANTÔNIO DE JESUS,-39.26113126,-12.96800777,214.859521,BAHIA
DOM MACEDO COSTA,-39.18809417,-12.91148926,165.852446,BAHIA
SAPEAÇU,-39.19480844,-12.73516147,226.152708,BAHIA
CABACEIRAS DO PARAGUAÇU,-39.18671309,-12.53713578,196.027965,BAHIA
MUNIZ FERREIRA,-39.1129817,-12.9973037,80.075371,BAHIA
CONCEIÇÃO DO ALMEIDA,-39.17094645,-12.77802032,216.773831,BAHIA
SÃO FELIPE,-39.0840149,-12.84507821,205.31682,BAHIA
NAZARÉ,-39.01062258,-13.03514822,11.829648,BAHIA
MARAGOGIPE,-38.91888144,-12.77511992,2.983128,BAHIA
CRUZ DAS ALMAS,-39.10073614,-12.66378621,223,BAHIA
GOVERNADOR MANGABEIRA,-39.03402361,-12.60155384,218.366843,BAHIA
ANTÔNIO CARDOSO,-39.11866154,-12.43483891,167.955661,BAHIA
MURITIBA,-38.98868882,-12.62337244,210.301061,BAHIA
SÃO FÉLIX,-38.96871853,-12.60571325,10.310322,BAHIA
CACHOEIRA,-38.96939807,-12.5962108,53.996198,BAHIA
CONCEIÇÃO DA FEIRA,-38.9997808,-12.50399191,229.616148,BAHIA
SERRA PRETA,-39.33250392,-12.15972683,278.391192,BAHIA
SANTO ESTÊVÃO,-39.2531902,-12.42889323,240.615577,BAHIA
IPECAETÁ,-39.30602564,-12.31419931,185.798293,BAHIA
ANGUERA,-39.24849892,-12.14958707,238.081262,BAHIA
SÃO GONÇALO DOS CAMPOS,-38.94977243,-12.4303098,237.168719,BAHIA
FEIRA DE SANTANA,-38.9600331,-12.22928425,238.641103,BAHIA
TANQUINHO,-39.10054717,-11.97169309,229.31322,BAHIA
SANTANÓPOLIS,-38.86716181,-12.02840689,239.882581,BAHIA
SANTA BÁRBARA,-38.96613901,-11.95690283,264.43361,BAHIA
